,license,location,pmcid,pmid,doi,doi_link,pubdate,source,number,text,type of citation intent (CURATION),"Intent (creation, used, mention)",software,version,ID,curation_label,type of citation intent,label
18,comm,comm/Oncotarget/PMC5668070.nxml,5668070,29108337.0,10.18632/oncotarget.18572,,2017,Statistical analysis,44,All analyses were carried out using SPSS software program Version 17.0 for Windows.,Results: Software used,used,SPSS,,SM165,software,,1
19,comm,comm/Front_Oncol/PMC8416113.nxml,8416113,34485123.0,10.3389/fonc.2021.684984,,2021,Statistical Analysis,22,"Data from this study were processed with GraphPad Prism 8 (GraphPad Software, USA) and expressed as mean ± standard deviation (x ± s)",Results: Software used,used,GraphPad Prism,8,SM45,software,,1
20,comm,comm/J_Cancer/PMC8408128.nxml,8408128,34476011.0,10.7150/jca.58768,,2021,Construction of DmR and DlncR coexpression networks and investigation of hub genes,8,The coexpression networks and hub genes in vital modules were visualized and analyzed by Cytoscape software (Version 3.5.1) 13.,Results: Software used,used,Cytoscape,,SM860,software,,1
21,comm,comm/Front_Pharmacol/PMC5660848.nxml,5660848,29114221.0,10.3389/fphar.2017.00726,,2017,Quantitative PCR,25,Relative expression levels and significance were determined using the ΔΔCt method and presented after analysis by GraphPad Prism 6,Results: Software used,used,GraphPad Prism,6,SM45,software,,1
22,comm,comm/Front_Plant_Sci/PMC4202788.nxml,4202788,25368628.0,10.3389/fpls.2014.00567,,2014,RAxML,10,"To compare the average distance-based POFAD output with that from a character-based tree-building analysis we first merged allelic/haplotype sequences for each individual cultivar by calculating their consensus (including IUPAC bases) using Bio Edit version 7 (http://www.mbio.ncsu.edu/BioEdit/bioedit.html), and then aligning them with other cultivars and concatenate the alignments of all contigs using Mesquite version 2.75 (Maddison and Maddison, 2011)",Results: Software used,used,Mesquite,,SM32441,software,,1
23,comm,comm/PLoS_One/PMC5038970.nxml,5038970,27676367.0,10.1371/journal.pone.0163668,,2016,Statistical analysis,14,"We computed pairwise LD statistics (D’ and r2) and haplotype frequencies using Haploview 4.0 (Broad Institute of MIT and Harvard, Cambridge, MA)",Results: Software used,used,Haploview,4,SM14274,software,,1
25,comm,comm/Confl_Health/PMC8010498.nxml,8010498,33789715.0,10.1186/s13031-021-00356-7,,2021,Complex emergencies,8,"Maps showing the location of event types were created in ArcGIS 10.7 (ESRI, Redlands, CA)",Results: Software used,used,ArcGIS,10.7,SM2214,software,,1
26,comm,comm/Pathogens/PMC7998583.nxml,7998583,33804525.0,10.3390/pathogens10030277,,2021,,6,Evolutionary analyses were conducted in MEGA X [19].,Results: Software used,used,MEGA X,,SM1412,software,,1
27,comm,comm/Genome_Announc/PMC3784785.nxml,3784785,24072865.0,10.1128/genomeA.00763-13,,2013,GENOME ANNOUNCEMENT,2,"The genome sequence was de novo assembled using the MIRA v.3.4, CLC Genomics Workbench v.5.5.1, and SeqMan NGen v.4.0.0 packages, and the obtained contigs were integrated by using CISA (6)",Results: Software used,used,CISA,,SM20711,software,,1
28,comm,comm/Front_Plant_Sci/PMC5483459.nxml,5483459,28694819.0,10.3389/fpls.2017.01114,,2017,"UAV Flights, Image Acquisition and Processing",16,"After the creation of the true color and near infrared orthophotos, they were loaded into Matlab software (version 12) for further processing",Results: Software used,used,Matlab,,SM93,software,,1
29,comm,comm/BMC_Cell_Biol/PMC6020349.nxml,6020349,29945545.0,10.1186/s12860-018-0161-4,,2018,,3,Data was analyzed using FlowJo V10.1 software,Results: Software used,used,FlowJo,,SM2783,software,,1
30,comm,comm/Carbon_Balance_Manag/PMC6446973.nxml,6446973,30904964.0,10.1186/s13021-019-0117-9,,2019,Development of the lidar biomass estimator,14,"We then developed a lidar-derived AGB model using the nonlinear least squares “nls” function in R [24], based on a total of 43 1 ha plots (15 real 1 ha plots, and 28 aggregated ones, Additional file 1: Table S1)",Results: Software used,used,R,,SM3,software,,1
31,comm,comm/Front_Psychol/PMC8168465.nxml,8168465,34084148.0,10.3389/fpsyg.2021.654200,,2021,Computer-Based Behavioral Task,7,"The task consisted of a Food Ratings component and a Food Choices component, both of which were programmed in MATLAB (version 2014a, Natick, MA) with PsychophysicsToolbox (version 3)2",Results: Software used,used,MATLAB,,SM30,software,,1
32,comm,comm/Sci_Rep/PMC5451427.nxml,5451427,28566762.0,10.1038/s41598-017-02942-3,,2017,Stimuli and Apparatus,24,"Stimuli presentation and behavioral data collection were performed using E-Prime v2.0 (Psychology Software Tools, Pittsburgh, PA)",Results: Software used,used,E-Prime,,SM5235,software,,1
33,comm,comm/Genome_Biol/PMC6371618.nxml,6371618,30744685.0,10.1186/s13059-019-1634-2,,2019,fig_caption,5,"NCBoost scores offered the highest within-individual rank percentiles of pathogenic variants (median 97.04%), with a statistical significant difference (one-sided paired Wilcoxon test p value) as compared to all evaluated reference methods: ReMM (median 96.34%; p value = 3.75e−2), Eigen (median 96.00%, p value = 9.55e−2), DeepSEA (95.3%; p value = 1.96e−3), CADD (median 93.50; p value = 4.03e−3), FunSeq2 (median 89.92; p value = 5.88e−4)",Results: Software usage in comparison,used,CADD,,SM15024,software,,1
34,comm,comm/J_Med_Internet_Res/PMC5054233.nxml,5054233,27658469.0,10.2196/jmir.5976,,2016,Limitations,58,"However, we are planning research to evaluate the infographics on the actual CHART platform, which would provide personalized assessments and would also enable us to study the effects of infographics on intentions and outcomes related to behavior change.",Results: Software used,used,CHART,,SM40029,software,,1
35,comm,comm/J_Pineal_Res/PMC7513311.nxml,7513311,32533862.0,10.1111/jpi.12673,,2020,Implementation details,14,The website is written in the Python programming language using the ‘Flask’ framework,Results: Software used,used,Flask,,SM8369,software,,1
37,comm,comm/PLoS_One/PMC4077741.nxml,4077741,24983942.0,10.1371/journal.pone.0101151,,2014,Motif identification and comparison,8,"To identify instances of the motif in the Miz-1 ChIP-seq peaks, the position-specific scoring matrices for these motifs were obtained from MEME-ChIP and used as input to FIMO using the default cutoff (p<10−4)",Results: Software used,used,FIMO,,SM8754,software,,1
38,comm,comm/Parasit_Vectors/PMC5761122.nxml,5761122,29316983.0,10.1186/s13071-017-2592-8,,2018,Data handling and analysis,12,"Data analysis was performed using R version 3.2 (URL https://www.r-project.org//) and STATA version 14 (StataCorp, College Station, TX, USA)",Results: Software used,used,R,,SM3,software,,1
40,comm,comm/Res_Synth_Methods/PMC7540394.nxml,7540394,32275351.0,10.1002/jrsm.1408,,2020,RECOMMENDATIONS,30,Editors of journals that focus on meta‐analyses could also consider making statcheck a standard part of their peer review process (following the journals Psychological Science and the Journal of Experimental Social Psychology).,Background: Simple mention,mention,statcheck,,SM73320,software,,2
41,comm,comm/Stand_Genomic_Sci/PMC4062632.nxml,4062632,24976889.0,10.4056/sigs.3797438,,2013,Genome sequencing and assembly,9,"The fake reads from the Allpaths assembly and both Velvet assemblies and a subset of the Illumina CLIP paired-end reads were assembled using parallel phrap, version 4.24 (High Performance Software, LLC)",Results: Software used,used,phrap,,SM842,software,,1
42,comm,comm/PLoS_One/PMC5035050.nxml,5035050,27662574.0,10.1371/journal.pone.0162180,,2016,Tests for positive selection,21,"To determine the importance of natural selection in the evolution and divergence of meq, we performed codon-specific selection analyses using several models implemented in PAML program [32, 41] and FUBAR, REL methods implemented in the Datamonkey web server [39]",Results: Software used,used,PAML,,SM4922,software,,1
43,comm,comm/Genome_Biol/PMC4414376.nxml,4414376,25908251.0,10.1186/s13059-015-0623-3,,2015,N-SCAN,94,"terrestris specific parameter sets with the respective LASTZ informant genome alignments to produce two N-SCAN gene prediction sets, one based on Amel_4.5 and the other based on BIMP_2.0 as the informant genomes",Results: Software used,used,LASTZ,,SM7335,software,,1
44,comm,comm/Front_Genet/PMC7235411.nxml,7235411,32477402.0,10.3389/fgene.2020.00433,,2020,Statistical Analysis,10,"We compared mean relative luciferase activity by using unpaired Student’s t tests in GraphPad Prism 5 (GraphPad Software, La Jolla, CA, United States).",Results: Software used,used,GraphPad Prism,5,SM45,software,,1
45,comm,comm/BMC_Genomics/PMC5433025.nxml,5433025,28506207.0,10.1186/s12864-017-3775-6,,2017,fig_caption,4,b Histogram presentation of functional categories (as annotated in Vectorbase) of upregulated (Up) and downregulated (Down) DE genes shared between SM and PM samples at 1 dpf,Results: Software used,used,Vectorbase,,SM148969,software,,1
46,comm,comm/Front_Psychiatry/PMC8319499.nxml,8319499,34335330.0,10.3389/fpsyt.2021.682952,,2021,Data Analysis,7,Analyses were conducted using R version 4.0.3 (17),Results: Software used,used,R,,SM3,software,,1
47,comm,comm/J_Biol_Chem/PMC7939457.nxml,7939457,33077516.0,10.1074/jbc.RA120.014745,,2021,Bioinformatic analysis,38,Identified phosphopeptides were included only if present in all three replicates with phosphosite localization probability score >0.7 of the Andromeda peptide search engine,Results: Software used,used,Andromeda,,SM3266,software,,1
48,comm,comm/Microorganisms/PMC7463849.nxml,7463849,32824654.0,10.3390/microorganisms8081252,,2020,3.3. Whole-Genome Bisulfite Sequencing Reveals No Evidence for Functional C-5 Methylation,20,Minor increases in the CHH signal towards the start end of several chromosomes were manually checked in IGV and attributed to poor mapping in (low complexity) telomeric regions,Results: Software used,used,IGV,,SM626,software,,1
49,comm,comm/Biosci_Rep/PMC3775512.nxml,3775512,23889209.0,10.1042/BSR20130078,,2013,Immunoblotting,5,"The quantification was performed using MultiGauge software (Fujifilm), and the signal was normalized to the amount of GAPDH (glyceraldehyde 3-phosphate dehydrogenase; HyTest, 5G4).",Results: Software used,used,MultiGauge,,SM7991,software,,1
50,comm,comm/PLoS_One/PMC5357017.nxml,5357017,28306735.0,10.1371/journal.pone.0173609,,2017,Discussion,17,"This result clearly suggests that if one can ensure a reasonably high density random trap arrangement in a study aimed at estimating population size in a social species, then one can be reasonably confident of obtaining unbiased estimates using POPAN.",Results: Software used,used,POPAN,,SM144420,software,,1
51,comm,comm/PLoS_One/PMC4519342.nxml,4519342,26221949.0,10.1371/journal.pone.0134091,,2015,"Predicted fraction of time each residue is in a helix (α-helix, 310 Helix or π Helix) or strand (β-sheet or β-Bridge).",34,"On the right, the predicted fractions of human amylin are shown for Amberff99sb*-ILDN with TIP3P, Amberff03w with TIP4P, CHARMM22* with TIP4P, and Gromos96 53a6 with SPC.",Results: Software used,used,CHARMM22,,SM12029,software,,1
52,comm,comm/Front_Genet/PMC7300213.nxml,7300213,32595694.0,10.3389/fgene.2020.00462,,2020,,37,Isoforms distribution of control (A) and cold-treated (B) wheat leaves in CIRCOS visualization,Results: Software used,used,CIRCOS,,SM28614,software,,1
53,comm,comm/BMC_Cancer/PMC7866666.nxml,7866666,33549042.0,10.1186/s12885-021-07845-1,,2021,Protein-protein interactions induced by NaB in CRC,33,"Based on the protein-protein interaction (PPI) pairs, a PPI network was constructed using the Cytoscape software (Fig. 6)",Results: Software used,used,Cytoscape,,SM860,software,,1
54,comm,comm/Genes_(Basel)/PMC8467464.nxml,8467464,34573415.0,10.3390/genes12091433,,2021,2.6. Whole-Exome Analysis,21,"Fragments were aligned to hg19 reference genome using Burrows-Wheeler Alignment (BWA) (v.0.6.1-r104) [69], samtools (v.1.6) [70], and variant calling was performed with GATK (Genome Analysis Toolkit, v",Results: Software used,used,Burrows,,SM7249,software,,1
55,comm,comm/PLoS_One/PMC6711516.nxml,6711516,31454389.0,10.1371/journal.pone.0221695,,2019,Statistical analysis,9,"Statistical analysis was performed with use of SPSS statistics software Version 22.0 (SPSS Inc., Chicago, USA)",Results: Software used,used,SPSS,,SM165,software,,1
56,comm,comm/Int_J_Biometeorol/PMC3527741.nxml,3527741,22374453.0,10.1007/s00484-012-0531-0,,2012,fig_caption,3,"Cumulative degree-days calculated for low temperature thresholds (T ) of 0°C and 10°C based on the measured and generated temperatures for the present and future climate conditions (SRES scenario A1B) and two IPCC models (GISS modelE, HadCM3) for two time horizons of 2020–2040 and 2040–2060",Results: Software used,used,HadCM3,,SM64946,software,,1
57,comm,comm/Front_Psychol/PMC6979258.nxml,6979258,32010005.0,10.3389/fpsyg.2019.02796,,2020,Student Engagement Scores,20,Student engagement scores were estimated using the lavaan package (v,Results: Software used,used,lavaan,,SM19673,software,,1
58,comm,comm/Sensors_(Basel)/PMC8125042.nxml,8125042,33925142.0,10.3390/s21093079,,2021,4.4. Model Analysis & Remarks,112,"Other solution can be found using other models, such as Dynamic Neural Networks [32], that achieved a 10% margin of error for irrigation scheduling based on soil moisture sensors, and [33], that schedule irrigation based on soil moisture predictions using XGBoost, with a 13% margin of error",Background: Simple mention,mention,XGBoost,,SM3353,software,,2
59,comm,comm/Front_Immunol/PMC8062704.nxml,8062704,33897687.0,10.3389/fimmu.2021.631410,,2021,Statistical and Bioinformatic Analyses,13,All statistical analyses were performed on Prism 8.0.0 (GraphPad Software) using Mann-Whitney U tests to assess differences between compartments (peripheral blood vs BAL fluid) or between disease state (HIV-negative vs HIV-positive),Results: Software used,used,GraphPad,,SM46,software,,1
60,comm,comm/Mol_Cancer/PMC2711046.nxml,2711046,19570220.0,10.1186/1476-4598-8-42,,2009,Characterisation of the human RASSF10 gene,5,That the predicted N-terminal 108 amino acids may not actually be part of the RASSF10 protein is supported by ClustalW alignments of RASSF7–10,Results: Software used,used,ClustalW,,SM536,software,,1
61,comm,comm/Genome_Biol/PMC4053927.nxml,4053927,24373287.0,10.1186/gb-2013-14-12-r147,,2013,An Illumina-based ChIP-exo method,4,These two shifted populations of reads are taken into consideration to estimate the centre of the peak using the peak caller MACS [7],Results: Software used,used,MACS,,SM15492,software,,1
62,comm,comm/BMJ_Open/PMC5577871.nxml,5577871,28780537.0,10.1136/bmjopen-2016-013606,,2017,Statistical analyses,72,All data will be analysed using SPSS (V.21) and STATA (Release V.12),Results: Software used,used,STATA,,SM2194,software,,1
63,comm,comm/PLoS_One/PMC2939052.nxml,2939052,20856862.0,10.1371/journal.pone.0012721,,2010,fig_caption,2,A: Analysis based on data estimated using software GERUD and B: Analysis based on data estimated using the program COLONY.,Results: Software used,used,GERUD,,SM149887,software,,1
64,comm,comm/Microorganisms/PMC7232320.nxml,7232320,32235377.0,10.3390/microorganisms8040485,,2020,2.4. Microbiome Data Processing,10,"The β-diversity has been evaluated through weighted and unweighted Unifrac metrics on variance stabilizing transformed data (DESeq2 1.24.0 R package), as previously suggested [29]",Results: Software used,used,DESeq2,1.24.0,SM5912,software,,1
65,comm,comm/Acta_Crystallogr_Sect_E_Struct_Rep_Online/PMC3152066.nxml,3152066,21837177.0,10.1107/S1600536811023786,,2011,,30,"Data collection: APEX2 (Bruker, 2006 ▶); cell refinement: SAINT (Bruker, 2003 ▶); data reduction: SAINT; program(s) used to solve structure: SHELXS97 (Sheldrick, 2008 ▶); program(s) used to refine structure: SHELXL97 (Sheldrick, 2008 ▶); molecular graphics: DIAMOND (Brandenburg, 2006 ▶); software used to prepare material for publication: publCIF (Westrip, 2010 ▶).",Results: Software used,used,SHELXL97,,SM9536,software,,1
66,comm,comm/Gigascience/PMC6808545.nxml,6808545,31644802.0,10.1093/gigascience/giz126,,2019,fig_caption,1,"For each sample, the fractions of the eukaryota and embryophyta sets found in the assemblies are calculated with BUSCO and the fraction of the CEGMA 248 set with the CRBB tool",Results: Software used,used,BUSCO,,SM8548,software,,1
67,comm,comm/Cancer_Cell_Int/PMC7282129.nxml,7282129,32528231.0,10.1186/s12935-020-01318-4,,2020,Statistical analysis,19,"Experimental data were calculated by GraphPad Prism (GraphPad, La Jolla, CA, USA) and presented by mean ± standard deviation (SD)",Results: Software used,used,GraphPad Prism,,SM45,software,,1
69,comm,comm/BMC_Genomics/PMC6339343.nxml,6339343,30658572.0,10.1186/s12864-019-5451-5,,2019,CNV identification and CNVR determination,7,"The software CNVnator (v0.3.2), which is better adapted than other similar softwares with respect to the accuracy of the copy number estimation [34], was used for realigned BAM file processing",Results: Software used,used,CNVnator,,SM48887,software,,1
70,comm,comm/Int_J_Mol_Sci/PMC7013417.nxml,7013417,31952130.0,10.3390/ijms21020543,,2020,3.2. QTL for GY and Secondary Traits under Optimum and Low-N Conditions,18,Identifying major effect QTL underlying single or multiple traits in various populations determines the successful use of QTL through MAS [8],Background: Software application,mention,MAS,,SM14995,software,,2
71,comm,comm/J_Fungi_(Basel)/PMC7151073.nxml,7151073,32188049.0,10.3390/jof6010037,,2020,2.6. Phylogenomic Analysis of A. heimuer and Related Genomes,8,The phylogenomic tree was built using RAxML version 8 [29].,Results: Software used,used,RAxML,,SM1408,software,,1
72,comm,comm/Front_Genet/PMC7371005.nxml,7371005,32754201.0,10.3389/fgene.2020.00722,,2020,RNA-Seq Data Analysis and Preprocessing,5,"The clean reads were then aligned to the reference bovine genome using Tophat software (version 2.1.0) (Trapnell et al., 2009)",Results: Software used,used,Tophat,,SM7623,software,,1
73,comm,comm/Molecules/PMC8466042.nxml,8466042,34576902.0,10.3390/molecules26185431,,2021,2.3. Instrumentation,9,"Microsoft Excel 2010 (version 16.48) and RStudio (version 1.1.463, RStudio, Boston, MA, USA) running R 3.5.1 were used for further data evaluation.",Results: Software used,used,RStudio,,SM353,software,,1
74,comm,comm/Microbiol_Resour_Announc/PMC7936636.nxml,7936636,33664138.0,10.1128/MRA.01400-20,,2021,ANNOUNCEMENT,4,The quality of assembly was assessed with QUAST 5.0.2 (15),Results: Software used,used,QUAST,5.0.2,SM668,software,,1
75,comm,comm/PLoS_One/PMC3511394.nxml,3511394,23226434.0,10.1371/journal.pone.0050960,,2012,Imaging and Statistics,41,Figures were processed with Adobe Photoshop CS4 software (Adobe).,Results: Software used,used,Adobe Photoshop CS4,,SM15299,software,,1
76,comm,comm/Materials_(Basel)/PMC6766216.nxml,6766216,31547276.0,10.3390/ma12182956,,2019,2.6. Statistical Analysis,21,"Statistical analysis of data was performed with GraphPad Prism software (Version 6, GraphPad, San Diego, CA, USA) using one-way ANOVA/two-way ANOVA with Bonferroni’s multiple comparison tests",Results: Software used,used,GraphPad,,SM46,software,,1
77,comm,comm/Evol_Appl/PMC6183468.nxml,6183468,30344639.0,10.1111/eva.12676,,2018,Identifying population structure,14,"Next, we used STRUCTURE v.2.3.4, a Bayesian clustering algorithm that is not dependent on location information (Pritchard, Stephens, & Donnelly, 2000), to identify the number of putative populations",Results: Software used,used,STRUCTURE,,SM830,software,,1
78,comm,comm/Contrast_Media_Mol_Imaging/PMC8349285.nxml,8349285,34393679.0,10.1155/2021/8280479,,2021,2.4. Image Data Processing,10,"The obtained images were sent to the workstation, and the DTI data were processed using the brain imaging data analysis tool FMRIB Software Library (FSL)",Results: Software used,used,FMRIB Software Library (FSL),,SM5187,software,,1
79,comm,comm/Front_Bioeng_Biotechnol/PMC6454105.nxml,6454105,31001529.0,10.3389/fbioe.2019.00072,,2019,Imaging,37,All images were analyzed using ImageJ/Fiji software.,Results: Software used,used,ImageJ/Fiji,,SM3001,software,,1
80,comm,comm/Insects/PMC7291246.nxml,7291246,32370094.0,10.3390/insects11050278,,2020,2.5. Phylogenetic Correlation,12,"We evaluated the phylogenetic signal using a comparative phylogenetic approach, with Pagel’s λ [24], Blomberg’s K [25], Abouheif’s Cmean index [26], and Moran’s I [27] compared using the phytools, picante, and adephylo packages in R",Results: Software used,used,R,,SM3,software,,1
81,comm,comm/BMC_Cancer/PMC4029627.nxml,4029627,24321518.0,10.1186/1471-2407-13-586,,2013,Bioinformatics and statistics,12,"R/BioConductor [22,23] with the package Beadarray [24] were used for preprocessing of the microarray text data from BeadStudio",Results: Software used,used,BeadStudio,,SM14536,software,,1
82,comm,comm/Int_J_Environ_Res_Public_Health/PMC4772172.nxml,4772172,26805866.0,10.3390/ijerph13020152,,2016,2. Experimental Section,4,MiSeq forward and reverse reads were paired using the PANDAseq v.2.9 [28] with default parameters,Results: Software used,used,PANDAseq,,SM7524,software,,1
83,comm,comm/Breast_Cancer_Res/PMC7992828.nxml,7992828,33766090.0,10.1186/s13058-021-01418-7,,2021,Tissue microarray and immunohistochemistry,7,"In quantitative image assessment, single cell segmentation and quantification of staining intensity were performed using a CellProfiler v.2.1.1 pipeline, CellID_FlowCyt-6.9.15",Results: Software used,used,CellProfiler,,SM2882,software,,1
84,comm,comm/IUCrJ/PMC7642774.nxml,7642774,33209327.0,10.1107/S2052252520013494,,2020,Successful application of AWSEM-Suite to previously unphased targets,21,"Using chain A of PDB entry 5dx6 in a molecular-replacement search gave a TFZ score of 5.4 and an R free value of 0.525 after phenix.autobuild, where both values generally indicate a failed solution",Results: Software used,used,phenix,,SM2807,software,,1
85,comm,comm/PLoS_One/PMC5305193.nxml,5305193,28192469.0,10.1371/journal.pone.0171910,,2017,Summary of SIMPER pairwise comparisons of diatom assemblages on shells of snapping turtles.,30,"SIMPER analysis was run on square-root transformed data, but data shown are untransformed mean counts (number per sample) for clarity",Results: Software used,used,SIMPER,,SM5104,software,,1
86,comm,comm/Front_Psychiatry/PMC7750430.nxml,7750430,33364989.0,10.3389/fpsyt.2020.575867,,2020,"Traits, States, and Scars, Relationships Between Depression, Rumination, and Cognitive Function",23,"To separate depressive state (MADRS T3) from scar effects, an explorative composite score consisting of a standardization (Computed in SPSS) of number of months depressed (Z-score months depressed), combined with standardized MADRS scores before T3 (T1, T2) were calculated: Scar composite = (ZMADRS T1 + ZMADRS T2 + Zmonths depressed)/3.",Results: Software used,used,SPSS,,SM165,software,,1
87,comm,comm/BMC_Bioinformatics/PMC2639437.nxml,2639437,19091072.0,10.1186/1471-2105-9-543,,2008,fig_caption,6,The part-similarities in these were identified correctly by PocketMatch,Results: Software used,used,PocketMatch,,SM83734,software,,1
88,comm,comm/Cancers_(Basel)/PMC8345060.nxml,8345060,34359677.0,10.3390/cancers13153777,,2021,4.4. Statistical Analysis,35,"It was ensured that these variables did not violate the proportional hazards assumption using the goodness-of-fit test (function cox.zph) in the survival package of R (The R Project for Statistical Computing, v4.0.2)",Results: Software used,used,R,,SM3,software,,1
89,comm,comm/Diagnostics_(Basel)/PMC7167955.nxml,7167955,31947707.0,10.3390/diagnostics10010044,,2020,2.2. Deep Learning-Based Techniques,7,"Very recently, one research group applied Mask R-CNN on cervix segmentation tasks, the obtained (Dice, IoU) score is (0.8711, 0.765) on “Kaggle Dataset” as reported in [26]",Background: Software application,mention,Mask R-CNN,,SM45755,software,,2
